alias,canonical_brand,score_hint,risk_level,category,notes
frito lay,pepsico,85,medium,food,Snacks subsidiary; distinctive brand
quaker,pepsico,85,medium,food,Acquired 2001; foods brand
nsrgy,nestle,85,medium,food,Stock ticker for Nestle
nestle sa,nestle,85,medium,food,Full corporate entity name
ul,unilever,85,medium,food,Stock ticker for Unilever
dove,unilever,85,medium,food,Personal care brand; distinctive
knorr,unilever,85,medium,food,Food brand; distinctive
p&g,procter & gamble,85,low,food,Universally recognized abbreviation
pg,procter & gamble,85,low,food,Stock ticker for P&G
pampers,procter & gamble,85,low,food,Baby care brand; distinctive
tide,procter & gamble,85,low,food,Laundry brand; distinctive
gillette,procter & gamble,85,low,food,Personal care brand; acquired 2005
mdlz,mondelez,85,medium,food,Stock ticker for Mondelez
nabisco,mondelez,85,medium,food,Brand under Mondelez; crackers/cookies
cadbury,mondelez,85,medium,food,UK/global chocolate brand
oreo,mondelez,85,medium,food,Cookie brand; globally distinctive
khc,kraft heinz,85,medium,food,Stock ticker for Kraft Heinz
kraft,kraft heinz,85,medium,food,US food brand
heinz,kraft heinz,85,medium,food,Ketchup/condiment brand; iconic
gis,general mills,85,medium,food,Stock ticker for General Mills
cheerios,general mills,85,medium,food,Cereal brand; distinctive
pillsbury,general mills,85,medium,food,Baking brand; distinctive
betty crocker,general mills,85,medium,food,Baking brand; distinctive
kellanova,kellogg,85,medium,food,Renamed international snacks business 2023
kellogg company,kellogg,85,medium,food,Former full name
mars inc,mars,70,high,food,Full corporate name; common English word
m&ms,mars,70,high,food,Candy brand under Mars; high risk parent
snickers,mars,70,high,food,Candy bar brand; distinctive but parent is high risk
wrigley,mars,70,high,food,Acquired gum brand; now subsidiary of Mars
dan,danone,85,medium,food,Stock ticker shorthand
danone sa,danone,85,medium,food,Full corporate entity name
activia,danone,85,medium,food,Yogurt brand; distinctive
evian,danone,85,medium,food,Water brand; distinctive
tsn,tyson foods,85,medium,food,Stock ticker for Tyson Foods
tyson,tyson foods,85,medium,food,Common shorthand; distinctive meat brand
jimmy dean,tyson foods,85,medium,food,Sausage sub-brand
hillshire farm,tyson foods,85,medium,food,Acquired 2014; deli brand
cargill inc,cargill,85,low,food,Full corporate name
archer daniels midland,adm,85,medium,food,Full name for ADM
adm milling,adm,85,medium,food,Milling division brand
bg,bunge,85,low,food,Stock ticker for Bunge Ltd
bunge limited,bunge,85,low,food,Full corporate name
jbs sa,jbs,85,medium,food,Full Brazilian corporate name
swift,jbs,85,medium,food,Beef brand under JBS; US operations
pilgrim's pride,jbs,85,medium,food,Poultry subsidiary majority-owned by JBS
hrl,hormel,85,low,food,Stock ticker for Hormel Foods
hormel foods,hormel,85,low,food,Full corporate name
spam,hormel,85,low,food,Iconic canned meat brand
jennie-o,hormel,85,low,food,Turkey brand subsidiary
cag,conagra,85,low,food,Stock ticker for Conagra Brands
conagra brands,conagra,85,low,food,Full corporate name
birds eye,conagra,85,low,food,Frozen food brand; distinctive
hunt's,conagra,85,low,food,Tomato brand; distinctive
hsy,hershey,85,low,food,Stock ticker for The Hershey Company
hershey company,hershey,85,low,food,Full corporate name
lindt & sprungli,lindt,85,low,food,Full corporate name
lindor,lindt,85,low,food,Premium chocolate truffle brand
ferrero rocher,ferrero,85,low,food,Flagship confectionery product
nutella,ferrero,85,low,food,Hazelnut spread; highly distinctive
tic tac,ferrero,85,low,food,Mint brand under Ferrero
sbux,starbucks,85,low,food,Stock ticker for Starbucks
mcd,mcdonald's,70,high,food,Stock ticker for McDonald's; franchise risk
mcdonalds,mcdonald's,70,high,food,Domain-style variant without apostrophe
golden arches,mcdonald's,70,high,food,Informal nickname for McDonald's
bkc,burger king,70,high,food,Burger King Corporation abbreviation
restaurant brands,burger king,70,high,food,Parent RBI owns BK Tim Hortons Popeyes
yum brands,kfc,70,high,food,Parent company of KFC Pizza Hut Taco Bell
kentucky fried chicken,kfc,70,high,food,Full historical name
subway restaurants,subway,70,high,food,Full company name
dpz,domino's,70,high,food,Stock ticker for Domino's Pizza
dominos pizza,domino's,70,high,food,No-apostrophe variant
wen,wendy's,70,high,food,Stock ticker for Wendy's
the wendy's company,wendy's,70,high,food,Full corporate name
cmg,chipotle,85,medium,food,Stock ticker for Chipotle
chipotle mexican grill,chipotle,85,medium,food,Full corporate name
tims,tim hortons,70,high,food,Common Canadian nickname
timhortons,tim hortons,70,high,food,Domain-style variant
plki,popeyes,70,high,food,Former stock ticker for Popeyes Louisiana Kitchen
popeyes louisiana kitchen,popeyes,70,high,food,Full brand name
dq,dairy queen,70,high,food,Common abbreviation
international dairy queen,dairy queen,70,high,food,Full corporate name
dnkn,dunkin,70,high,food,Former stock ticker
dunkin' donuts,dunkin,70,high,food,Former brand name with apostrophe
inspire brands,dunkin,70,high,food,Parent company also owns Arby's etc
wmt,walmart,85,medium,retail,Stock ticker for Walmart
walmart inc,walmart,85,medium,retail,Full corporate name
asda,walmart,85,medium,retail,UK supermarket owned by Walmart
flipkart,walmart,85,medium,retail,Indian e-commerce; majority owned by Walmart
cost,costco,85,low,retail,Stock ticker for Costco
costco wholesale,costco,85,low,retail,Full corporate name
tgt,target,70,high,retail,Stock ticker; target itself is high risk
kr,kroger,85,medium,retail,Stock ticker for Kroger
fred meyer,kroger,85,medium,retail,Pacific NW banner brand
smith's,kroger,85,medium,retail,Regional supermarket banner
king soopers,kroger,85,medium,retail,Colorado banner brand
carr,carrefour,85,medium,retail,Stock ticker shorthand
carrefour sa,carrefour,85,medium,retail,Full corporate name
tsco,tesco,85,medium,retail,Stock ticker for Tesco
tesco plc,tesco,85,medium,retail,Full corporate name
aldi nord,aldi,85,medium,retail,Northern German Aldi group
aldi sud,aldi,85,medium,retail,Southern German Aldi group
metro inc,metro,70,high,retail,Canadian grocery
metro ag,metro,70,high,retail,German wholesale
hd,home depot,85,medium,retail,Stock ticker for Home Depot
the home depot,home depot,85,medium,retail,Full brand name
low,lowes,85,medium,retail,Stock ticker for Lowe's
lowe's companies,lowes,85,medium,retail,Full corporate name
ingvar kamprad,ikea,85,low,retail,Founder name; IKEA acronym derives from it
inter ikea,ikea,85,low,retail,Holding company that owns the IKEA concept
wayfair inc,wayfair,85,low,retail,Full corporate name
tj maxx,tjx,85,medium,retail,Flagship off-price banner
marshalls,tjx,85,medium,retail,Off-price banner
homegoods,tjx,85,medium,retail,Home goods banner
sierra,tjx,85,medium,retail,Outdoor/sporting banner
jwn,nordstrom,85,low,retail,Stock ticker for Nordstrom
gps,gap,85,medium,retail,Stock ticker for Gap Inc
gap inc,gap,85,medium,retail,Full holding company name
banana republic,gap,85,medium,retail,Premium apparel brand
old navy,gap,85,medium,retail,Value apparel brand; distinctive
athleta,gap,85,medium,retail,Women's activewear brand
inditex,zara,85,medium,retail,Parent holding company
itx,inditex,85,medium,retail,Stock ticker for Inditex
pull&bear,inditex,85,medium,retail,Youth fashion brand
massimo dutti,inditex,85,medium,retail,Premium brand
bershka,inditex,85,medium,retail,Youth fashion brand
hennes & mauritz,h&m,85,medium,retail,Full Swedish corporate name
h&m group,h&m,85,medium,retail,Group holding name
fast retailing,uniqlo,85,low,retail,Parent company of Uniqlo
nke,nike,85,low,retail,Stock ticker for Nike
nike inc,nike,85,low,retail,Full corporate name
jordan brand,nike,85,low,retail,Air Jordan sub-brand
converse,nike,85,low,retail,Acquired 2003; sneaker brand
adidas ag,adidas,85,low,retail,Full corporate entity name
reebok,adidas,85,low,retail,Acquired 2006; sold 2022; historically associated
puma ag,puma,85,low,retail,Former corporate name
puma se,puma,85,low,retail,Current corporate entity
uaa,under armour,85,low,retail,Stock ticker (class A)
underarmour,under armour,85,low,retail,No-space variant
lulu,lululemon,85,low,retail,Common shorthand
lululemon athletica,lululemon,85,low,retail,Full corporate name
levi strauss,levi's,85,low,retail,Full corporate name
levi jeans,levi's,85,low,retail,Common product reference
louis vuitton moet hennessy,lvmh,85,medium,retail,Full expansion of LVMH acronym
louis vuitton,lvmh,85,medium,retail,Flagship brand
dior,lvmh,85,medium,retail,Fashion/beauty brand; distinctive
tag heuer,lvmh,85,medium,retail,Watch brand under LVMH
sephora,lvmh,85,medium,retail,Beauty retail brand under LVMH
kering,gucci,85,low,retail,Parent company; Gucci is leading brand
gucci guccio,gucci,85,low,retail,Full brand name with founder surname
hermes international,hermes,85,low,retail,Full corporate name
birkin,hermes,85,low,retail,Iconic handbag; distinctive
kelly,hermes,85,low,retail,Iconic handbag; distinctive
chanel sa,chanel,85,low,retail,Full legal entity name
rolex sa,rolex,85,low,retail,Full corporate name
tudor,rolex,85,low,retail,Entry-luxury watch brand owned by Rolex
tm,toyota,85,low,auto,Stock ticker for Toyota Motor
toyota motor,toyota,85,low,auto,Full corporate name
lexus,toyota,85,low,auto,Luxury vehicle brand; distinctive
hmc,honda,85,low,auto,Stock ticker for Honda Motor
honda motor,honda,85,low,auto,Full corporate name
acura,honda,85,low,auto,US luxury brand
nsany,nissan,70,high,auto,Stock ticker for Nissan; nissan itself is high risk
nissan motor,nissan,70,high,auto,Full corporate name; high risk brand
infiniti,nissan,70,high,auto,Luxury sub-brand of Nissan; inherits parent risk
ford motor,ford,85,medium,auto,Full corporate name
lincoln,ford,85,medium,auto,Luxury brand; distinctive
ford credit,ford,85,medium,auto,Financial services arm
gm,general motors,85,medium,auto,Common abbreviation for General Motors
gmc,general motors,85,medium,auto,Truck/SUV brand
chevrolet,general motors,85,medium,auto,Mainstream auto brand
buick,general motors,85,medium,auto,Premium brand; distinctive
cadillac,general motors,85,medium,auto,Luxury brand; distinctive
baojun,general motors,85,medium,auto,Chinese JV brand
stla,stellantis,85,medium,auto,Stock ticker for Stellantis
chrysler,stellantis,85,medium,auto,US brand; distinctive
fiat,stellantis,85,medium,auto,Italian brand; distinctive
jeep,stellantis,85,medium,auto,Off-road brand; very distinctive
dodge,stellantis,85,medium,auto,US performance brand
ram,stellantis,85,medium,auto,Truck brand; common word but brand is strong
peugeot,stellantis,85,medium,auto,French brand; distinctive
citroen,stellantis,85,medium,auto,French brand; distinctive
opel,stellantis,85,medium,auto,German brand; distinctive
vow,volkswagen,85,medium,auto,Stock ticker for VW
vw,volkswagen,85,medium,auto,Universal abbreviation
volkswagen ag,volkswagen,85,medium,auto,Full corporate name
audi ag,audi,85,medium,auto,Full corporate name
porsche,volkswagen,85,medium,auto,Premium brand; majority owned by VW Group
seat,volkswagen,85,medium,auto,Spanish brand under VW Group
skoda,volkswagen,85,medium,auto,Czech brand under VW Group
bayerische motoren werke,bmw,85,medium,auto,Full German corporate name
mini,bmw,85,medium,auto,British brand owned by BMW Group
rolls royce motorcar,bmw,85,medium,auto,Luxury auto brand (separate from Rolls-Royce aerospace)
mbg,mercedes benz,85,medium,auto,Stock ticker for Mercedes-Benz Group
daimler,mercedes benz,85,medium,auto,Former parent company name
mercedes,mercedes benz,85,medium,auto,Common brand shorthand
mbenz,mercedes benz,85,medium,auto,Informal abbreviation
hymtf,hyundai,85,medium,auto,Stock ticker shorthand
hyundai motor,hyundai,85,medium,auto,Full corporate name
genesis,hyundai,85,medium,auto,Luxury sub-brand
kia motors,kia,85,medium,auto,Former full corporate name
kia corporation,kia,85,medium,auto,Current full corporate name
tsla,tesla,85,low,auto,Stock ticker for Tesla
ab volvo,volvo,85,medium,auto,Commercial vehicles parent (trucks/buses)
volvo cars,volvo,85,medium,auto,Passenger cars; owned by Geely
volvo trucks,volvo,85,medium,auto,Commercial truck brand under AB Volvo
rnlt,renault,85,medium,auto,Stock ticker shorthand
renault sa,renault,85,medium,auto,Full corporate name
dacia,renault,85,medium,auto,Romanian value brand under Renault
mzda,mazda,85,low,auto,Stock ticker shorthand
mazda motor,mazda,85,low,auto,Full corporate name
fuji heavy industries,subaru,85,low,auto,Former corporate name of Subaru parent
subaru corp,subaru,85,low,auto,Current formal corporate name
bsto,bridgestone,85,low,auto,Stock ticker shorthand
bridgestone corporation,bridgestone,85,low,auto,Full corporate name
compagnie generale des etablissements michelin,michelin,85,low,auto,Full French corporate name
gt,goodyear,85,low,auto,Stock ticker for Goodyear
goodyear tire & rubber,goodyear,85,low,auto,Full corporate name
ctt,continental,85,medium,auto,Stock ticker for Continental AG
continental ag,continental,85,medium,auto,Full German corporate name
contitech,continental,85,medium,auto,Industrial division sub-brand
dhl express,dhl,85,medium,travel,Express courier division
deutsche post,dhl,85,medium,travel,German postal parent company
dhl supply chain,dhl,85,medium,travel,Supply chain/logistics division
fdx,fedex,85,low,travel,Stock ticker for FedEx
federal express,fedex,85,low,travel,Historical full name
tnt,fedex,85,low,travel,Acquired 2016; European express brand
united parcel service,ups,85,low,travel,Full corporate name
ups supply chain,ups,85,low,travel,Supply chain services division
apmm,maersk,85,low,travel,A.P. Moller-Maersk Group abbreviation
a.p. moller maersk,maersk,85,low,travel,Full corporate name
hlag,hapag lloyd,85,low,travel,Stock ticker for Hapag-Lloyd
hapag-lloyd,hapag lloyd,85,low,travel,Hyphen variant
xpo logistics,xpo,85,low,travel,Former full corporate name
chrw,ch robinson,85,low,travel,Stock ticker for C.H. Robinson
c.h. robinson,ch robinson,85,low,travel,Full corporate name
dbs,db schenker,70,medium,travel,Common abbreviation; ambiguous with DBS Bank
deutsche bahn schenker,db schenker,85,medium,travel,Full parent reference
kn,kuehne nagel,85,low,travel,Stock ticker for Kuehne+Nagel
kuehne+nagel,kuehne nagel,85,low,travel,Plus-sign variant
dsv panalpina,dsv,85,low,travel,Former name post Panalpina acquisition
expd,expeditors,85,low,travel,Stock ticker for Expeditors
expeditors international,expeditors,85,low,travel,Full corporate name
ceva group,ceva logistics,85,low,travel,Parent holding group
uber technologies,uber,85,low,travel,Full corporate name
lyft inc,lyft,85,low,travel,Full corporate name
att,at&t,70,high,telecom,No-ampersand variant; still high risk
american telephone & telegraph,at&t,70,high,telecom,Historical full name
directv,at&t,70,high,telecom,Satellite TV brand; divested interest
warner media,at&t,70,high,telecom,Former media arm; sold to Discovery
vz,verizon,85,medium,telecom,Stock ticker for Verizon
verizon communications,verizon,85,medium,telecom,Full corporate name
fios,verizon,85,medium,telecom,Fiber internet brand
tmus,t-mobile,85,medium,telecom,Stock ticker for T-Mobile
t mobile,t-mobile,85,medium,telecom,No-hyphen variant
sprint,t-mobile,85,medium,telecom,Acquired 2020; legacy brand
metro by t-mobile,t-mobile,85,medium,telecom,Prepaid sub-brand
vodafone group,vodafone,70,high,telecom,Full corporate name
orange sa,orange,70,high,telecom,Full corporate entity name
tef,telefonica,85,medium,telecom,Stock ticker for Telefonica
movistar,telefonica,85,medium,telecom,Latin America/Spain brand
o2,telefonica,70,high,telecom,UK/Germany brand; O2 itself is very short and ambiguous
vivo,telefonica,85,medium,telecom,Brazilian mobile brand
british telecom,bt,85,medium,telecom,Historical full name; BT widely known
bt group,bt,85,medium,telecom,Current holding group name
ee,bt,85,medium,telecom,UK mobile brand owned by BT
plusnet,bt,85,medium,telecom,Budget ISP brand owned by BT
dteg,deutsche telekom,85,medium,telecom,Stock ticker shorthand
telekom,deutsche telekom,85,medium,telecom,Brand shorthand
t-systems,deutsche telekom,85,medium,telecom,IT services subsidiary
magenta,deutsche telekom,85,medium,telecom,Brand color/identity name
ten,telenor,85,low,telecom,Stock ticker for Telenor
telenor asa,telenor,85,low,telecom,Full corporate entity name
bce,bell,70,high,telecom,Stock ticker for BCE Inc (Bell Canada parent)
bell canada,bell,70,high,telecom,Main operating entity; Bell is common English word
bell mobility,bell,70,high,telecom,Mobile services brand
virgin plus,bell,70,high,telecom,Prepaid/youth brand under Bell
rci,rogers,70,high,telecom,Stock ticker for Rogers Communications
rogers communications,rogers,70,high,telecom,Full corporate name; Rogers is common surname
fido,rogers,70,high,telecom,Prepaid brand owned by Rogers; also a common pet name
telus corporation,telus,70,high,telecom,Full corporate name
koodo,telus,70,high,telecom,Budget prepaid brand under Telus
shaw communications,shaw,70,high,telecom,Full corporate name
cmcsa,comcast,85,medium,telecom,Stock ticker for Comcast
xfinity,comcast,85,medium,telecom,Consumer internet/TV brand
nbcuniversal,comcast,85,medium,telecom,Media/entertainment subsidiary
dis,disney,85,medium,media,Stock ticker for The Walt Disney Company
the walt disney company,disney,85,medium,media,Full corporate name
espn,disney,85,medium,media,Sports media brand
hulu,disney,85,medium,media,Streaming service (majority owned)
abc,disney,85,medium,media,Television network owned by Disney
marvel,disney,85,medium,media,Entertainment brand; acquired 2009
nflx,netflix,85,low,media,Stock ticker for Netflix
wbd,warner bros discovery,85,medium,media,Stock ticker for Warner Bros Discovery
warner bros,warner bros discovery,85,medium,media,Film/TV studio brand
discovery,warner bros discovery,85,medium,media,Cable TV brand; merged with Warner
hbo,warner bros discovery,85,medium,media,Premium cable brand; highly distinctive
cnn,warner bros discovery,85,medium,media,News network brand
turner,warner bros discovery,85,medium,media,Historical cable TV brand
spot,spotify,85,low,media,Stock ticker for Spotify
foxa,fox,85,medium,media,Stock ticker for Fox Corporation (class A)
fox corporation,fox,85,medium,media,Full corporate name
fox news,fox,85,medium,media,News channel brand
fox sports,fox,85,medium,media,Sports media brand
tri,thomson reuters,85,low,media,Stock ticker for Thomson Reuters
reuters,thomson reuters,85,low,media,News agency brand; sub-brand
westlaw,thomson reuters,85,low,media,Legal research platform
rtz,thomson reuters,70,medium,media,Former Reuters ticker RTZ; check context carefully
bloomberg lp,bloomberg,85,low,media,Full corporate name
bloomberg media,bloomberg,85,low,media,Media division
ren,relx,85,low,media,Stock ticker for RELX
reed elsevier,relx,85,low,media,Former corporate name pre-2015
lexisnexis,relx,85,low,media,Legal/news information sub-brand
elsevier,relx,85,low,media,Academic publisher; distinctive
springer,springer nature,85,low,media,Publishing brand shorthand
nature publishing,springer nature,85,low,media,Academic journals brand
macmillan,springer nature,85,low,media,Book publisher; associated with Springer Nature
wkl,wolters kluwer,85,low,media,Stock ticker for Wolters Kluwer
wolters kluwer nv,wolters kluwer,85,low,media,Full corporate entity name
pson,pearson,85,medium,media,Stock ticker for Pearson
pearson plc,pearson,85,medium,media,Full corporate name
penguin,pearson,85,medium,media,Publishing brand; Penguin Random House
edexcel,pearson,85,medium,media,UK exam board brand
acn,accenture,85,low,consulting,Stock ticker for Accenture
accenture plc,accenture,85,low,consulting,Full corporate entity name
dtte,deloitte,85,medium,consulting,Informal abbreviation
deloitte touche,deloitte,85,medium,consulting,Common informal name
deloitte & touche,deloitte,85,medium,consulting,Former formal entity name
pricewaterhousecoopers,pwc,85,medium,consulting,Full expanded name
pwc llp,pwc,85,medium,consulting,Partnership entity name
price waterhouse,pwc,85,medium,consulting,Pre-merger name
ernst & young,ey,85,medium,consulting,Full expanded name for EY
ey llp,ey,85,medium,consulting,Partnership entity name
klynveld peat marwick goerdeler,kpmg,85,medium,consulting,Full historical name for KPMG
kpmg llp,kpmg,85,medium,consulting,Partnership entity name
mck,mckinsey,85,low,consulting,Common shorthand
mckinsey & company,mckinsey,85,low,consulting,Full formal name
boston consulting group,bcg,85,low,consulting,Full name for BCG
bcg platinion,bcg,85,low,consulting,Tech consulting sub-brand of BCG
bain & company,bain,85,medium,consulting,Full formal name; management consulting
bain capital,bain,70,medium,consulting,Separate investment firm; same founders; ambiguous
cap,capgemini,70,low,consulting,Stock ticker; 3-char; check context
capgemini se,capgemini,85,low,consulting,Full corporate entity name
ctsh,cognizant,85,low,consulting,Stock ticker for Cognizant
cognizant technology,cognizant,85,low,consulting,Full name variant
infy,infosys,85,low,consulting,Stock ticker for Infosys
infosys technologies,infosys,85,low,consulting,Former longer name
finacle,infosys,85,low,consulting,Banking software product brand
tata consultancy services,tcs,85,low,consulting,Full expanded name; universally maps to TCS
tata consulting,tcs,85,low,consulting,Informal variant
wit,wipro,85,low,consulting,Stock ticker for Wipro
wipro limited,wipro,85,low,consulting,Full corporate name
wipro technologies,wipro,85,low,consulting,IT services division name
hcl,hcltech,85,low,consulting,Common abbreviation for HCL Technologies
hcl technologies,hcltech,85,low,consulting,Full corporate name
genpact limited,genpact,85,low,consulting,Full corporate name
ntt data corporation,ntt data,85,medium,consulting,Full corporate name
nippon telegraph,ntt data,85,medium,consulting,Parent company reference
atos se,atos,85,low,consulting,Full corporate entity name
bull,atos,85,low,consulting,IT brand acquired by Atos; legacy
evidian,atos,85,low,consulting,Cybersecurity brand under Atos
pub,publicis,85,medium,consulting,Stock ticker for Publicis Groupe
publicis groupe,publicis,85,medium,consulting,Full corporate name
saatchi,publicis,85,medium,consulting,Saatchi & Saatchi; advertising sub-brand
wpp plc,wpp,85,medium,consulting,Full corporate entity name
grey,wpp,85,medium,consulting,Advertising agency under WPP
ogilvy,wpp,85,medium,consulting,Advertising agency under WPP
jwt,wpp,85,medium,consulting,J. Walter Thompson; now Wunderman Thompson
omc,omnicom,85,medium,consulting,Stock ticker for Omnicom Group
omnicom group,omnicom,85,medium,consulting,Full corporate name
bbdo,omnicom,85,medium,consulting,Advertising agency network
ddb,omnicom,85,medium,consulting,Advertising agency network
tbwa,omnicom,85,medium,consulting,Advertising agency network
dentsu inc,dentsu,85,low,consulting,Full Japanese corporate name
dentsu group,dentsu,85,low,consulting,Holding company name
interpublic group,ipg,85,medium,consulting,Full name for IPG
mccann,ipg,85,medium,consulting,McCann Worldgroup; advertising agency
foote cone & belding,ipg,85,medium,consulting,FCB advertising agency under IPG
fcb,ipg,85,medium,consulting,FCB agency abbreviation
saatchi and saatchi,saatchi & saatchi,85,low,consulting,Variant without ampersand
securitas ab,securitas,85,low,facilities,Full corporate entity name
group 4 securicor,g4s,85,medium,facilities,Full historical name for G4S
allied universal,g4s,85,medium,facilities,G4S merged into Allied Universal in Americas
bcorp,brinks,85,low,facilities,Stock ticker shorthand
brink's company,brinks,85,low,facilities,Full corporate name
jci,johnson controls,85,medium,facilities,Stock ticker for Johnson Controls
tyco,johnson controls,85,medium,facilities,Acquired security business 2016
cb richard ellis,cbre,85,low,facilities,Full historical name for CBRE
cbre group,cbre,85,low,facilities,Full current corporate name
jones lang lasalle,jll,85,low,facilities,Full corporate name for JLL
cwk,cushman wakefield,85,low,facilities,Stock ticker for Cushman & Wakefield
dtz,cushman wakefield,85,low,facilities,Acquired DTZ; legacy brand
sodexo sa,sodexo,85,low,facilities,Full corporate entity name
armk,aramark,85,low,facilities,Stock ticker for Aramark
eurest,compass group,85,medium,facilities,Contract catering brand
chartwells,compass group,85,medium,facilities,Education dining brand
scolarest,compass group,85,medium,facilities,Education catering brand
rkil,rentokil,85,low,facilities,Stock ticker for Rentokil Initial
rentokil initial,rentokil,85,low,facilities,Full corporate name
terminix,rentokil,85,low,facilities,Acquired 2022; US pest control brand
ctas,cintas,85,low,facilities,Stock ticker for Cintas
cintas corporation,cintas,85,low,facilities,Full corporate name
ecl,ecolab,85,low,facilities,Stock ticker for Ecolab
ecolab inc,ecolab,85,low,facilities,Full corporate name
nalco,ecolab,85,low,facilities,Acquired 2011; water treatment brand
mar,marriott,70,high,travel,Stock ticker; marriott is high risk franchise
marriott international,marriott,70,high,travel,Full corporate name
sheraton,marriott,70,high,travel,Upper-upscale hotel brand
westin,marriott,70,high,travel,Premium hotel brand
ritz carlton,marriott,70,high,travel,Luxury brand; distinctive even within high-risk parent
w hotels,marriott,70,high,travel,Lifestyle brand
courtyard,marriott,70,high,travel,Midscale brand
fairfield,marriott,70,high,travel,Budget brand
ac hotels,marriott,70,high,travel,European-origin lifestyle brand
renaissance,marriott,70,high,travel,Upper-upscale brand
hlt,hilton,70,high,travel,Stock ticker; hilton is high risk franchise
hilton worldwide,hilton,70,high,travel,Full corporate name
hampton inn,hilton,70,high,travel,Midscale brand; high franchise count
doubletree,hilton,70,high,travel,Upper-midscale brand
embassy suites,hilton,70,high,travel,All-suite brand
waldorf astoria,hilton,70,high,travel,Ultra-luxury brand
curio,hilton,70,high,travel,Soft brand collection
tapestry,hilton,70,high,travel,Soft brand collection
hyatt hotels,hyatt,85,medium,travel,Full corporate name
park hyatt,hyatt,85,medium,travel,Luxury brand
grand hyatt,hyatt,85,medium,travel,Premium brand
andaz,hyatt,85,medium,travel,Lifestyle brand
alila,hyatt,85,medium,travel,Luxury spa brand acquired by Hyatt
intercontinental hotels,ihg,70,high,travel,Full name for IHG
holiday inn,ihg,70,high,travel,Largest franchise brand in IHG; very high operator risk
crowne plaza,ihg,70,high,travel,Upscale brand
staybridge,ihg,70,high,travel,Extended stay brand
candlewood,ihg,70,high,travel,Extended stay value brand
six senses,ihg,70,high,travel,Luxury wellness brand
voco,ihg,70,high,travel,Soft brand
aor,accor,85,medium,travel,Stock ticker shorthand
accor sa,accor,85,medium,travel,Full corporate entity name
sofitel,accor,85,medium,travel,Luxury brand
novotel,accor,85,medium,travel,Midscale brand
ibis,accor,85,medium,travel,Budget brand; strong brand identity
mercure,accor,85,medium,travel,Midscale brand
pullman,accor,85,medium,travel,Upper-upscale brand
fairmont,accor,85,medium,travel,Luxury brand acquired by Accor
wyn,wyndham,70,high,travel,Stock ticker; wyndham is high risk
wyndham hotels,wyndham,70,high,travel,Full corporate name
days inn,wyndham,70,high,travel,Budget brand; very high franchise count
super 8,wyndham,70,high,travel,Budget brand
ramada,wyndham,70,high,travel,Midscale brand; high franchise count
la quinta,wyndham,70,high,travel,Midscale brand
bwi,best western,70,high,travel,Best Western International abbreviation
best western international,best western,70,high,travel,Full cooperative name
expe,expedia,85,medium,travel,Stock ticker for Expedia
expedia group,expedia,85,medium,travel,Full corporate name
hotels.com,expedia,85,medium,travel,Online hotel booking brand
vrbo,expedia,85,medium,travel,Vacation rental brand
hotwire,expedia,85,medium,travel,Discount travel brand
trivago,expedia,85,medium,travel,Hotel comparison brand; majority owned by Expedia
bkng,booking holdings,85,medium,travel,Stock ticker for Booking Holdings
booking.com,booking holdings,85,medium,travel,Primary brand
priceline,booking holdings,85,medium,travel,US travel brand
agoda,booking holdings,85,medium,travel,Asia-Pacific travel brand
kayak,booking holdings,85,medium,travel,Search brand
opentable,booking holdings,85,medium,travel,Restaurant reservation brand
htz,hertz,70,high,travel,Stock ticker; hertz is high risk franchise
the hertz corporation,hertz,70,high,travel,Full corporate name
dollar,hertz,70,high,travel,Dollar Car Rental; owned by Hertz
thrifty,hertz,70,high,travel,Thrifty Car Rental; owned by Hertz
carg,avis,70,high,travel,Parent company ticker (Avis Budget Group)
avis budget group,avis,70,high,travel,Full holding company name
budget,avis,70,high,travel,Budget Car Rental; sister brand to Avis
zipcar,avis,70,high,travel,Car sharing brand; owned by Avis Budget
payless,avis,70,high,travel,Budget car rental brand
ehi,enterprise,70,high,travel,Enterprise Holdings abbreviation
enterprise holdings,enterprise,70,high,travel,Full corporate name
national car rental,enterprise,70,high,travel,Mid-tier brand owned by Enterprise Holdings
alamo,enterprise,70,high,travel,Budget brand owned by Enterprise Holdings
abnb,airbnb,85,medium,travel,Stock ticker for Airbnb
amazon,amazon,85,medium,tech,Canonical self-reference; needed for alias resolution
microsoft,microsoft,85,medium,tech,Canonical self-reference; needed for alias resolution
merck,merck,85,medium,pharma,US Merck canonical self-reference
merck kgaa,merck kgaa,85,medium,pharma,German Merck canonical self-reference; separate from US Merck
